﻿Fecha,Hora,Magnitud,Profundidad,Referencia de localizacion
1901-03-05,04:45:00,6.9,33.0,"100 km al NORESTE de LA PAZ, BCS"
1901-12-08,20:17:00,7.0,33.0,"83 km al OESTE de AHOME, SIN"
1902-01-16,17:19:00,7.0,33.0,"21 km al OESTE de ZUMPANGO DEL RIO, GRO"
1902-04-18,20:23:00,7.5,25.0,"72 km al ESTE de CACAHOATAN, CHIS"
1902-09-23,14:18:00,7.7,25.0,"5 km al SUROESTE de TEOPISCA, CHIS"
1902-12-12,17:10:00,7.1,33.0,"115 km al NORTE de GUERRERO NEGRO, BCS"
1903-01-13,19:47:36,7.6,33.0,"50 km al SUR de MAPASTEPEC, CHIS"
1905-10-24,11:40:00,6.6,33.0,"320 km al SUR de CABO SAN LUCAS, BCS"
1905-12-16,23:27:00,7.1,33.0,"727 km al SUROESTE de CABO SAN LUCAS, BCS"
1906-04-10,15:18:00,7.1,33.0,"320 km al SUR de CABO SAN LUCAS, BCS"
1907-04-15,00:08:06,7.6,33.0,"23 km al SURESTE de SAN MARCOS, GRO"
1907-10-16,08:57:18,7.1,10.0,"77 km al NOROESTE de SANTA ROSALIA, BCS"
1908-03-26,17:03:30,7.5,33.0,"23 km al SURESTE de SAN MARCOS, GRO"
1908-03-26,21:45:30,7.0,33.0,"46 km al SUROESTE de TECPAN, GRO"
1908-10-12,23:06:00,6.9,33.0,"23 km al ESTE de LAS GUACAMAYAS, MICH"
1909-07-30,04:51:54,7.2,33.0,"8 km al SUR de ACAPULCO, GRO"
1909-07-31,12:43:10,6.9,33.0,"20 km al SUROESTE de SAN MARCOS, GRO"
1909-09-05,05:17:20,6.6,33.0,"42 km al SURESTE de ACAPULCO, GRO"
1909-10-31,04:23:00,6.9,33.0,"60 km al SUR de PETATLAN, GRO"
1910-05-30,22:19:19,6.5,33.0,"23 km al SURESTE de SAN MARCOS, GRO"
1910-09-23,21:32:42,6.9,80.0,"65 km al SURESTE de TLACOLULA, OAX"
1911-02-03,14:41:55,6.5,80.0,"19 km al ESTE de H HUAJUAPAN DE LEON, OAX"
1911-06-07,05:02:42,7.6,33.0,"59 km al SUROESTE de CD LAZARO CARDENAS, MICH"
1911-08-27,04:59:18,6.7,100.0,"51 km al ESTE de TLACOLULA, OAX"
1911-12-16,13:14:18,7.5,50.0,"36 km al SUR de TECPAN, GRO"
1912-11-19,07:55:07,6.9,33.0,"15 km al NORESTE de ATLACOMULCO, MEX"
1912-12-09,02:32:24,7.0,33.0,"13 km al NOROESTE de MAPASTEPEC, CHIS"
1914-03-29,18:41:18,7.2,150.0,"14 km al NORESTE de OCOSINGO, CHIS"
1915-09-06,19:20:48,7.4,80.0,"348 km al ESTE de CD HIDALGO, CHIS"
1915-11-20,18:13:22,7.0,10.0,"33 km al SURESTE de GPE VICTORIA(KM.43), BC"
1916-06-02,07:59:24,7.0,150.0,"42 km al SUR de SAYULA DE ALEMAN, VER"
1916-11-21,00:25:24,6.8,33.0,"43 km al SUROESTE de TELOLOAPAN, GRO"
1917-12-29,16:50:20,6.9,33.0,"96 km al SUR de PUERTO ESCONDIDO, OAX"
1918-05-23,05:57:30,6.8,33.0,"102 km al SUR de H GUAYMAS, SON"
1918-06-07,15:27:06,6.6,33.0,"17 km al SUROESTE de COALCOMAN, MICH"
1919-04-17,14:53:03,6.9,33.0,"48 km al SURESTE de CD HIDALGO, CHIS"
1920-01-03,22:21:56,6.4,10.0,"13 km al NORTE de HUATUSCO, VER"
1920-04-19,15:06:36,6.7,110.0,"9 km al SURESTE de COSCOMATEPEC, VER"
1921-02-04,02:22:44,7.4,120.0,"125 km al ESTE de CACAHOATAN, CHIS"
1921-04-21,14:01:36,6.5,33.0,"65 km al SUR de COALCOMAN, MICH"
1922-06-11,22:47:44,6.7,33.0,"117 km al SUROESTE de NAVOLATO, SIN"
1925-08-07,01:47:48,6.7,100.0,"10 km al SURESTE de NUEVA ITALIA, MICH"
1925-11-16,05:54:54,7.0,33.0,"291 km al SUROESTE de CIHUATLAN, JAL"
1925-12-10,08:14:42,7.0,33.0,"31 km al NOROESTE de MOTOZINTLA, CHIS"
1928-02-09,22:39:37,6.5,84.0,"9 km al NORESTE de ACATLAN DE OSORIO, PUE"
1928-03-21,22:17:30,7.5,33.0,"12 km al SURESTE de CRUCECITA, OAX"
1928-04-16,21:25:27,6.7,115.0,"55 km al SUROESTE de TUXTEPEC, OAX"
1928-06-16,21:19:28,7.6,33.0,"11 km al OESTE de MIAHUATLAN, OAX"
1928-08-04,12:28:17,7.4,33.0,"49 km al SUR de H TLAXIACO, OAX"
1928-10-08,21:01:08,7.5,33.0,"35 km al NORESTE de RIO GRANDE, OAX"
1928-10-31,22:12:54,6.3,10.0,"17 km al NOROESTE de HIDALGO DEL PARRAL, CHIH"
1931-01-02,03:49:02,6.7,33.0,"257 km al SUROESTE de PUERTO VALLARTA, JAL"
1931-01-14,19:50:40,7.8,40.0,"30 km al OESTE de MIAHUATLAN, OAX"
1932-06-03,04:36:52,8.2,33.0,"4 km al SURESTE de CASIMIRO CASTILLO, JAL"
1932-06-18,04:12:10,7.8,33.0,"14 km al SUROESTE de TUXPAN, JAL"
1932-06-22,06:59:28,6.9,33.0,"52 km al SUROESTE de MANZANILLO, COL"
1932-07-07,10:15:51,6.7,33.0,"149 km al OESTE de M ALEMAN(LA DOCE), SON"
1932-07-12,13:24:10,6.7,33.0,"51 km al SUROESTE de HUATABAMPO, SON"
1932-07-25,03:12:46,6.9,33.0,"7 km al SUROESTE de TECOMAN, COL"
1932-12-07,10:22:09,6.8,33.0,"8 km al NOROESTE de CD DE ARMERIA, COL"
1933-04-08,21:58:17,6.6,33.0,"54 km al NOROESTE de CIHUATLAN, JAL"
1933-05-08,04:33:40,6.9,33.0,"29 km al ESTE de PETATLAN, GRO"
1934-01-28,13:10:03,6.8,33.0,"9 km al ESTE de COYUCA DE BENITEZ, GRO"
1934-11-29,20:05:16,7.0,33.0,"83 km al SUROESTE de CIHUATLAN, JAL"
1934-12-31,12:45:45,7.1,33.0,"46 km al SURESTE de GPE VICTORIA(KM.43), BC"
1935-06-29,00:48:54,6.9,33.0,"36 km al OESTE de COALCOMAN, MICH"
1935-12-14,16:05:17,7.3,33.0,"31 km al SUROESTE de TAPACHULA, CHIS"
